"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","PubMed ID","Document Type","Publication Stage","Open Access","Source","EID"
"Zaidi S.A.H.; Khan S.A.; Chaabane A.","Zaidi, Syed Adeel Haneef (59248844600); Khan, Sharfuddin Ahmed (55637292800); Chaabane, Amin (26422002600)","59248844600; 55637292800; 26422002600","Unlocking the potential of digital twins in supply chains: A systematic review","2024","Supply Chain Analytics","7","","100075","","","","1","10.1016/j.sca.2024.100075","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200546921&doi=10.1016%2fj.sca.2024.100075&partnerID=40&md5=5ba28d417e26d860791fba68ec4693fb","Digital Twins (DTs) developments are still in the pilot stages of deployment in supply chain management (SCM), and their full integration with real-time synchronization and autonomous decision-making poses many challenges. This paper aims to identify these common challenges and provide a conceptual framework for establishing a Digital Twin (DT) system to improve supply chain management performance. The paper presents a systematic literature review of 129 research papers on DT applications for SCM improvement. The selected papers were reviewed and classified into three categories: manufacturing and production, supply chain, and logistics. The development of digital technologies such as the Internet of Things (IoT), Radio Frequency Identification (RFID) devices, cloud computing, cyber-physical systems (CPSs), cybersecurity (CS), and simulation modeling has increased the opportunities to explore the creation of supply chain DTs. However, there are limitations and various challenges due to the complexity of most systems. The results indicate that DT for SCM should include external links (i.e. suppliers, distributors) and internal links (i.e. procurement, production, logistics) to deal with any disruption through data-driven modeling with real-time synchronization. Based on the review findings, this study proposes a three-layered conceptual framework to improve supply chain management performance. The proposed framework provides future directions for DT research in SCM. It provides a holistic and integrated approach to DT implementation, the common DT technologies, and data analytics techniques for improved supply chain performance. © 2024","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85200546921"
"Mengi E.; Becker C.J.; Sedky M.; Yu S.-Y.; Zohdi T.I.","Mengi, Emre (59322426300); Becker, Carla J. (58749128900); Sedky, Mostafa (58750045500); Yu, Shao-Yi (58124954100); Zohdi, Tarek I. (7003450276)","59322426300; 58749128900; 58750045500; 58124954100; 7003450276","A digital-twin and rapid optimization framework for optical design of indoor farming systems","2024","Computational Mechanics","74","1","","31","43","12","5","10.1007/s00466-023-02421-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178872670&doi=10.1007%2fs00466-023-02421-9&partnerID=40&md5=84769da82635430cfec06029434bf9f7","In the face of a changing climate and a rising number of “food deserts"" in both rural and urban areas, there is a demand to supply fresh produce year-round to communities at the end of the traditional agriculture supply chain. Vertical indoor farming is a promising mode of next-generation agriculture that boasts reduced water and pesticide usage, improved yields, more consistent quality, year-round cultivation, and cheaper transportation and harvesting costs. Indoor farms can rival industrial greenhouses in size, but small-scale “pod farms"" can be deployed to smaller communities and areas where large swaths of land are either unavailable or too costly. These pods are often the size of shipping containers with their temperature, humidity, and plant nutrient supply carefully controlled. Plants inside the pods are grown hydroponically with light supplied by panels of LEDs and, thus, this mode of farming is fundamentally different from greenhouse farming. Many indoor farming pods have recently become commercially available claiming high energy efficiency, but little analysis and optimization work has been done to prove these claims. To drive innovation in the design of these physical systems, we have developed a digital-twin and genomic optimization framework for the optical design of vertical indoor farming pods. We model a completely enclosed indoor farming pod with plants in the three mutually-orthogonal planes and illuminated by LED “walls."" We employ ray-tracing methods and a genetic algorithm to determine the LED source tube area size, beam aperture spread, and power requirements for maximal power absorption by the plants. © The Author(s), under exclusive licence to Springer-Verlag GmbH Germany, part of Springer Nature 2023.","","Article","Final","","Scopus","2-s2.0-85178872670"
"Maheshwari P.; Kamble S.; Kumar S.; Belhadi A.; Gupta S.","Maheshwari, Pratik (57220028876); Kamble, Sachin (36864045000); Kumar, Satish (57992552600); Belhadi, Amine (57192378881); Gupta, Shivam (55851943244)","57220028876; 36864045000; 57992552600; 57192378881; 55851943244","Digital twin-based warehouse management system: a theoretical toolbox for future research and applications","2024","International Journal of Logistics Management","35","4","","1073","1106","33","10","10.1108/IJLM-01-2023-0030","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164192827&doi=10.1108%2fIJLM-01-2023-0030&partnerID=40&md5=9d8d66d2fa1af27a9e10a51213c27367","Purpose: The digital warehouse management system is an emergence that forms a critical part of the transformation of economic structure in Industry 4.0. In the present business scenario, the warehouse management system encounters a messy layout, poor damage control, unsatisfactory order management, lack of visibility and lack of technological interventions. Digital twin (DT) based warehouse system shows the ontology and knowledge graphs for competitive advantage by consolidating and transferring goods directly from an inbound supplier to an outbound customer on short notice and with no or limited storage. There remains a lack of clarity on how the DT can be implemented successfully in warehouse management. Design/methodology/approach: The current literature remains largely unstructured and scattered due to a lack of a systematic approach to integrating the research implications and analysis. This paper probes the conceptualization of the DT with the help of theoretical analysis using the systematic literature analysis method. Findings: The study explores essential concepts such as interoperability and integrability in implementing DT. Further, it analyzes the role of a supply chain control tower (SCCT) in modern supply chain management. A research framework is proposed for practitioners and academicians by incorporating the opportunities and challenges associated with DT implementation. The research findings are mainly threefold: Conceptualization of DT, Featuring SCCT and Exploration of cross-computer platform interfaces, scalability and maintenance strategies. Originality/value: This study is among the first to analyze and review DT applications in warehouse management. Moreover, the study proposes a theoretical toolbox for the practitioners to successfully implement the DT in warehouse DT-based warehouse management system: A theoretical toolbox for future research and applications. © 2023, Emerald Publishing Limited.","","Review","Final","","Scopus","2-s2.0-85164192827"
"Deli M.M.; Rauf U.A.A.; Asha’ari M.J.; Jamil A.H.; Purwati A.A.; Abdullah S.I.N.W.; Ismail F.; Harun S.N.","Deli, Mazzlida Mat (57200074213); Rauf, Ummu Ajirah Abdul (57207830052); Asha’ari, Maryam Jamilah (57196420818); Jamil, Ainul Huda (57226423736); Purwati, Astri Ayu (57205297859); Abdullah, Siti Intan Nurdiana Wong (57209173591); Ismail, Fauziah (59178736100); Harun, Siti Norliyana (36674751600)","57200074213; 57207830052; 57196420818; 57226423736; 57205297859; 57209173591; 59178736100; 36674751600","A BIBLIOMETRIC ARTICLE REGARDING TWIN TECHNOLOGY IN TECHNOLOGY MANAGEMENT FOR THE YEAR 2019-2023: INDUSTRY IN MALAYSIA","2024","Journal of Applied Engineering and Technological Science","5","2","","925","940","15","0","10.37385/jaets.v5i2.3244","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196426200&doi=10.37385%2fjaets.v5i2.3244&partnerID=40&md5=e95ffb6ad2d6ef2976c1022ac4b91e1f","The purpose of this research is to analyze the application of digital twin technology in the efficient management of new innovative technology. The research is directed to perform a bibliometric analysis of the subject topic. The relevancy of the research can be underlined by the fact that digital twin technologies are a popular concept of Industry 4.0. In addition, this research is advantageous to identify the application of digital twin technology in efficient technology management, especially in Malaysia. As a scope, it would highlight possible use cases of digital twin technology. The review of existing literature highlighted that digital twin technology has serious use case potential in supply chain operations. Whereas other scholars argue that digital twin technology can bring out major disruptive innovations to improve the internal competencies of major manufacturing firms. The methodology for the research involves the use of secondary data with bibliometric analysis. It has been identified in the findings that there is a rise in research associated with digital twin technology between the timelines from 2019 to 2022. Furthermore, Chinese Academies are most active in propagating research on variables like digital twins. © 2024, Intellectual Research and Development Education Foundation (YRPI). All rights reserved.","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85196426200"
"Ellul C.; Hamilton N.; Pieri A.; Floros G.","Ellul, Claire (12767125600); Hamilton, Neve (59235278400); Pieri, Alexandros (59234169400); Floros, George (57204851426)","12767125600; 59235278400; 59234169400; 57204851426","Exploring Data for Construction Digital Twins: Building Health and Safety and Progress Monitoring Twins Using the Unreal Gaming Engine","2024","Buildings","14","7","2216","","","","0","10.3390/buildings14072216","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199669180&doi=10.3390%2fbuildings14072216&partnerID=40&md5=1ad875e67817bf03939b18772fc6b729","Although digital twins have been established in manufacturing for a long time, they are only more recently making their way into the urban environment and present a relatively new concept for the construction industry. The concept of a digital twin—a model of the physical environment that has a real-time two-way link between the physical and the digital, with the virtual model changing over time to reflect changes in the real world—lends itself well to the continually changing environment of a construction project. Predictive capabilities built into a twin also have great potential for construction planning—including in supply chain management and waste disposal as well as in the construction process itself. Underpinning this opportunity is location data, which model where something is happening and when and can be used to solve a wide range of problems. In particular, location (the power of where) can integrate diverse data sources and types into a single system, overcoming interoperability challenges that are known to be a barrier to twin implementation. This paper demonstrates the power of location-enabled digital twins in the context of a highway construction project, documenting and addressing data engineering tasks and functionality development to explore the potential of digital twins in the context of two case studies—health and safety and construction monitoring. We develop two demonstrators using data from an existing construction project (building on data and requirements from industry partner Skanska) to build twins that make use of the powers of 4D data presentation offered by the Unreal Gaming Engine and CesiumJS mapping, while software development expertise is sometimes available to construction firms, we specifically explore to what extent the no-code approach available within Unreal can be deployed in this context. Our findings provide evidence to construction companies as to the benefits of digital twins, as well as an understanding of the data engineering and technical skills required to achieve these benefits. The overall results demonstrate the potential for digital twins to unlock and democratise construction data, taking them beyond the niche use of experts and into the boardroom. © 2024 by the authors.","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85199669180"
"Bui H.T.; Aboutorab H.; Mahboubi A.; Gao Y.; Sultan N.H.; Chauhan A.; Parvez M.Z.; Bewong M.; Islam R.; Islam Z.; Camtepe S.A.; Gauravaram P.; Singh D.; Ali Babar M.; Yan S.","Bui, Hang Thanh (57219906761); Aboutorab, Hamed (57201904820); Mahboubi, Arash (57197727870); Gao, Yansong (56763011100); Sultan, Nazatul Haque (56567763800); Chauhan, Aufeef (36986697300); Parvez, Mohammad Zavid (55743919500); Bewong, Michael (57194043518); Islam, Rafiqul (57209132403); Islam, Zahid (57198634079); Camtepe, Seyit A. (8940517200); Gauravaram, Praveen (23466918000); Singh, Dineshkumar (56046410400); Ali Babar, M. (6602842620); Yan, Shihao (56018686300)","57219906761; 57201904820; 57197727870; 56763011100; 56567763800; 36986697300; 55743919500; 57194043518; 57209132403; 57198634079; 8940517200; 23466918000; 56046410400; 6602842620; 56018686300","Agriculture 4.0 and beyond: Evaluating cyber threat intelligence sources and techniques in smart farming ecosystems","2024","Computers and Security","140","","103754","","","","9","10.1016/j.cose.2024.103754","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185195192&doi=10.1016%2fj.cose.2024.103754&partnerID=40&md5=8c96bfd880d80f9f9f1fd4095577a480","The digitisation of agriculture, integral to Agriculture 4.0, has brought significant benefits while simultaneously escalating cybersecurity risks. With the rapid adoption of smart farming technologies and infrastructure, the agricultural sector has become an attractive target for cyberattacks. This paper presents a systematic literature review that assesses the applicability of existing cyber threat intelligence (CTI) techniques within smart farming infrastructures (SFIs). We develop a comprehensive taxonomy of CTI techniques and sources, specifically tailored to the SFI context, addressing the unique cyber threat challenges in this domain. A crucial finding of our review is the identified need for a virtual Chief Information Security Officer (vCISO) in smart agriculture. While the concept of a vCISO is not yet established in the agricultural sector, our study highlights its potential significance. The implementation of a vCISO could play a pivotal role in enhancing cybersecurity measures by offering strategic guidance, developing robust security protocols, and facilitating real-time threat analysis and response strategies. This approach is critical for safeguarding the food supply chain against the evolving landscape of cyber threats. Our research underscores the importance of integrating a vCISO framework into smart farming practices as a vital step towards strengthening cybersecurity. This is essential for protecting the agriculture sector in the era of digital transformation, ensuring the resilience and sustainability of the food supply chain against emerging cyber risks. © 2024 The Author(s)","","Review","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85185195192"
"Suresh Babu C.V.; Sriram E.; Raju B.H.; Matthai P.A.; Sudharshan S.","Suresh Babu, C.V. (59140288100); Sriram, E. (58309874800); Raju, B. Hemanth (59262256100); Matthai, Prathik Alex (59262256200); Sudharshan, S. (59262280500)","59140288100; 58309874800; 59262256100; 59262256200; 59262280500","Shaping sustainable manufacturing: IoT and industry 4.0 integration for transformation","2024","Futuristic Technology for Sustainable Manufacturing","","","","216","247","31","0","10.4018/979-8-3693-1862-1.ch012","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201360506&doi=10.4018%2f979-8-3693-1862-1.ch012&partnerID=40&md5=86915cb4175f322b711a79bbaca3c31b","This chapter explores the dynamic landscape of industry transformation through the integration of cutting-edge technologies. We delve into three key trends reshaping the industrial sector: Blockchain-based Supply Chain Management, IoT-based Energy Efficiency, and Industrial 4.0-based Predictive Maintenance. Drawing from real-world examples such as Provenance's use of blockchain to trace coffee bean origins, Siemens' IoT sensors optimizing energy consumption, and GE's digital twins for predictive maintenance, we unveil the practical applications and game-changing potential of these innovations. By examining their benefits, challenges, and future trajectories, this chapter equips professionals, researchers, and decision-makers with insights into how these technologies are revolutionizing industries, promoting sustainability, and driving operational efficiency. © 2024, IGI Global. All rights reserved.","","Book chapter","Final","","Scopus","2-s2.0-85201360506"
"Cimino A.; Longo F.; Mirabelli G.; Solina V.","Cimino, Antonio (26027418700); Longo, Francesco (57201515306); Mirabelli, Giovanni (7003506850); Solina, Vittorio (57197733652)","26027418700; 57201515306; 7003506850; 57197733652","A cyclic and holistic methodology to exploit the Supply Chain Digital Twin concept towards a more resilient and sustainable future","2024","Cleaner Logistics and Supply Chain","11","","100154","","","","2","10.1016/j.clscn.2024.100154","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192177247&doi=10.1016%2fj.clscn.2024.100154&partnerID=40&md5=c81d3112ea1c0fd9fb905a6e6bf764c7","Recent major disruptions such as natural disasters, geopolitical tensions, Covid-19 pandemic have led supply chain managers to rethink strategies for achieving significant levels of sustainability and resilience. At the same time, new digital technologies are offering significant opportunities to increase company performance, while maintaining a high level of customer service. In this challenging context, the Supply Chain Digital Twin (SCDT) represents an emerging and promising concept, which deserves to be explored. In this paper, a holistic and cyclical methodology, based on simulation, is proposed to enable and exploit the SCDT Paradigm, with the main aim to increase sustainability and resilience of the chains. The proposed methodology is successfully tested and validated on a real case study in the agri-food sector, through the use of the anyLogistix software. The results return valuable information on the level of resilience of the supply chain in the face of any considered disruption and provide useful managerial insights on the actions to be taken to improve some performance indicators. © 2024","","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85192177247"
"Serôdio C.; Mestre P.; Cabral J.; Gomes M.; Branco F.","Serôdio, Carlos (6505869400); Mestre, Pedro (35096694300); Cabral, Jorge (57615344700); Gomes, Monica (59074988300); Branco, Frederico (7003808329)","6505869400; 35096694300; 57615344700; 59074988300; 7003808329","Software and Architecture Orchestration for Process Control in Industry 4.0 Enabled by Cyber-Physical Systems Technologies","2024","Applied Sciences (Switzerland)","14","5","2160","","","","2","10.3390/app14052160","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192494845&doi=10.3390%2fapp14052160&partnerID=40&md5=fc7dd2e78934e9fe0e2c841ea34db59c","In the context of Industry 4.0, this paper explores the vital role of advanced technologies, including Cyber–Physical Systems (CPS), Big Data, Internet of Things (IoT), digital twins, and Artificial Intelligence (AI), in enhancing data valorization and management within industries. These technologies are integral to addressing the challenges of producing highly customized products in mass, necessitating the complete digitization and integration of information technology (IT) and operational technology (OT) for flexible and automated manufacturing processes. The paper emphasizes the importance of interoperability through Service-Oriented Architectures (SOA), Manufacturing-as-a-Service (MaaS), and Resource-as-a-Service (RaaS) to achieve seamless integration across systems, which is critical for the Industry 4.0 vision of a fully interconnected, autonomous industry. Furthermore, it discusses the evolution towards Supply Chain 4.0, highlighting the need for Transportation Management Systems (TMS) enhanced by GPS and real-time data for efficient logistics. A guideline for implementing CPS within Industry 4.0 environments is provided, focusing on a case study of real-time data acquisition from logistics vehicles using CPS devices. The study proposes a CPS architecture and a generic platform for asset tracking to address integration challenges efficiently and facilitate the easy incorporation of new components and applications. Preliminary tests indicate the platform’s real-time performance is satisfactory, with negligible delay under test conditions, showcasing its potential for logistics applications and beyond. © 2024 by the authors.","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85192494845"
"Hezam I.M.; Ali A.M.; Sallam K.; Hameed I.A.; Abdel-Basset M.","Hezam, Ibrahim M. (57190135415); Ali, Ahmed M. (57724747400); Sallam, Karam (57188813331); Hameed, Ibrahim A. (36175945700); Abdel-Basset, Mohamed (57217514491)","57190135415; 57724747400; 57188813331; 36175945700; 57217514491","Digital twin and fuzzy framework for supply chain sustainability risk assessment and management in supplier selection","2024","Scientific Reports","14","1","17718","","","","0","10.1038/s41598-024-67226-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200281342&doi=10.1038%2fs41598-024-67226-z&partnerID=40&md5=ba8704676051afa01a183a7853109eae","Risks in the supply chain can damage many companies and organizations due to sustainability risk factors. This study evaluates the supply chain risk assessment and management and then selects the best supplier in a gas company in Egypt. A comprehensive methodology can use the experts' opinions who use the linguistic variables in the spherical fuzzy numbers (SFNs) to evaluate the criteria and suppliers in this study based on their views. Selecting the best supplier is a complex task due to various criteria related to supply chain risk assessment, such as supply risks, environmental risks, financial risks, regularity risks, political risk, ethical risks, and technology risks and their sub-criteria. This study suggested a new combined model with multi-criteria decision-making (MCDM) under a spherical fuzzy set (SFS) environment to overcome uncertainty and incomplete data in the assessment process. The MCDM methodology has two methods: the Entropy and COmbinative Distance-based Assessment (CODAS) methods. The SFS-Entropy is used to compute supply chain risk assessment and management criteria weights. The SFS-CODAS method is used to rank the supplier. The main results show that supply risks have the highest importance, followed by financial and environmental risks, and ethical risks have the lowest risk importance. The criteria weights were changed under sensitivity analysis to show the stability and validation of the results obtained from the suggested methodology. The comparative analysis is implemented with other MCDM methods named TOPSIS, VIKOR, MARCOS, COPRAS, WASPAS, and MULTIMOORA methods under the SFS environment. This study can help managers and organizations select the best supplier with the lowest sustainability risks. © The Author(s) 2024.","39085252","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85200281342"
