PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34696042","Digital Twins Supporting Efficient Digital Industrial Transformation","Bamunuarachchi D, Georgakopoulos D, Banerjee A, Jayaraman PP.","Sensors (Basel). 2021 Oct 14;21(20):6829. doi: 10.3390/s21206829.","Bamunuarachchi D","Sensors (Basel)","2021","2021/10/26","PMC8540280","","10.3390/s21206829"
"38116386","Sports venue digital twin technology from a spectator virtual visiting perspective","Glebova E, Book R, Su Y, Perić M, Heller J.","Front Sports Act Living. 2023 Dec 5;5:1289140. doi: 10.3389/fspor.2023.1289140. eCollection 2023.","Glebova E","Front Sports Act Living","2023","2023/12/20","PMC10728725","","10.3389/fspor.2023.1289140"
"38709011","Digital Twins in Agriculture: Orchestration and Applications","Escribà-Gelonch M, Liang S, van Schalkwyk P, Fisk I, Long NVD, Hessel V.","J Agric Food Chem. 2024 May 15;72(19):10737-10752. doi: 10.1021/acs.jafc.4c01934. Epub 2024 May 6.","Escribà-Gelonch M","J Agric Food Chem","2024","2024/05/06","PMC11100011","","10.1021/acs.jafc.4c01934"
"39103218","Virtualization and digital twins of the food supply chain for enhanced food safety","Corradini MG, Homez-Jara AK, Chen C.","Adv Food Nutr Res. 2024;111:71-91. doi: 10.1016/bs.afnr.2024.06.001. Epub 2024 Jun 18.","Corradini MG","Adv Food Nutr Res","2024","2024/08/05","","","10.1016/bs.afnr.2024.06.001"
"39338814","Digital Twin Approach for Operation and Maintenance of Transportation System-Systematic Review","Werbińska-Wojciechowska S, Giel R, Winiarska K.","Sensors (Basel). 2024 Sep 19;24(18):6069. doi: 10.3390/s24186069.","Werbińska-Wojciechowska S","Sensors (Basel)","2024","2024/09/28","PMC11435829","","10.3390/s24186069"
"33604707","Digital Twins: A General Overview of the Biopharma Industry","Canzoneri M, De Luca A, Harttung J.","Adv Biochem Eng Biotechnol. 2021;177:167-184. doi: 10.1007/10_2020_157.","Canzoneri M","Adv Biochem Eng Biotechnol","2021","2021/02/19","","","10.1007/10_2020_157"
"37305021","The impact of digital twins on the evolution of intelligent manufacturing and Industry 4.0","Attaran M, Attaran S, Celik BG.","Adv Comput Intell. 2023;3(3):11. doi: 10.1007/s43674-023-00058-y. Epub 2023 Jun 7.","Attaran M","Adv Comput Intell","2023","2023/06/12","PMC10246533","","10.1007/s43674-023-00058-y"
"35972776","Digital Twins for Managing Health Care Systems: Rapid Literature Review","Elkefi S, Asan O.","J Med Internet Res. 2022 Aug 16;24(8):e37641. doi: 10.2196/37641.","Elkefi S","J Med Internet Res","2022","2022/08/16","PMC9428772","","10.2196/37641"
"36687282","The Digital Supply Chain Twin paradigm for enhancing resilience and sustainability against COVID-like crises","Longo F, Mirabelli G, Padovano A, Solina V.","Procedia Comput Sci. 2023;217:1940-1947. doi: 10.1016/j.procs.2022.12.394. Epub 2023 Jan 13.","Longo F","Procedia Comput Sci","2023","2023/01/23","PMC9836493","","10.1016/j.procs.2022.12.394"
"36772664","Data-Driven Supply Chain Operations-The Pilot Case of Postal Logistics and the Cross-Border Optimization Potential","Zdolsek Draksler T, Cimperman M, Obrecht M.","Sensors (Basel). 2023 Feb 2;23(3):1624. doi: 10.3390/s23031624.","Zdolsek Draksler T","Sensors (Basel)","2023","2023/02/11","PMC9920370","","10.3390/s23031624"
"35370340","Digital twin framework for reconfigurable manufacturing systems (RMSs): design and simulation","Kombaya Touckia J, Hamani N, Kermad L.","Int J Adv Manuf Technol. 2022;120(7-8):5431-5450. doi: 10.1007/s00170-022-09118-y. Epub 2022 Mar 30.","Kombaya Touckia J","Int J Adv Manuf Technol","2022","2022/04/04","PMC8964391","","10.1007/s00170-022-09118-y"
"35009655","Can a Byte Improve Our Bite? An Analysis of Digital Twins in the Food Industry","Henrichs E, Noack T, Pinzon Piedrahita AM, Salem MA, Stolz J, Krupitzer C.","Sensors (Basel). 2021 Dec 24;22(1):115. doi: 10.3390/s22010115.","Henrichs E","Sensors (Basel)","2021","2022/01/11","PMC8747666","","10.3390/s22010115"
"38187956","Impact of Blockchain-Digital Twin Technology on Precision Health, Pharmaceutical Industry, and Life Sciences: Conference Proceedings, Conv2X 2023","Vasiliu-Feltes I, Mylrea M, Zhang CY, Wood TC, Thornley B.","Blockchain Healthc Today. 2023 Nov 7;6. doi: 10.30953/bhty.v6.281. eCollection 2023.","Vasiliu-Feltes I","Blockchain Healthc Today","2023","2024/01/08","PMC10770801","","10.30953/bhty.v6.281"
"35677065","Blackout and supply chains: Cross-structural ripple effect, performance, resilience and viability impact analysis","Ivanov D.","Ann Oper Res. 2022 Jun 3:1-17. doi: 10.1007/s10479-022-04754-9. Online ahead of print.","Ivanov D","Ann Oper Res","2022","2022/06/09","PMC9164572","","10.1007/s10479-022-04754-9"
"32630771","Reliable Identification Schemes for Asset and Production Tracking in Industry 4.0","Frankó A, Vida G, Varga P.","Sensors (Basel). 2020 Jul 2;20(13):3709. doi: 10.3390/s20133709.","Frankó A","Sensors (Basel)","2020","2020/07/08","PMC7374395","","10.3390/s20133709"
"36850448","Research on Real-Time Robust Optimization of Perishable Supply-Chain Systems Based on Digital Twins","Wu Y, Zhang J, Li Q, Tan H.","Sensors (Basel). 2023 Feb 7;23(4):1850. doi: 10.3390/s23041850.","Wu Y","Sensors (Basel)","2023","2023/02/28","PMC9962242","","10.3390/s23041850"
"34934397","Food retail supply chain resilience and the COVID-19 pandemic: A digital twin-based impact analysis and improvement directions","Burgos D, Ivanov D.","Transp Res E Logist Transp Rev. 2021 Aug;152:102412. doi: 10.1016/j.tre.2021.102412. Epub 2021 Jun 30.","Burgos D","Transp Res E Logist Transp Rev","2021","2021/12/22","PMC8677600","","10.1016/j.tre.2021.102412"
